duration	intensity
0.083333333	141.6
0.083333333	126
0.083333333	120
0.083333333	120
0.083333333	117.6
0.083333333	115.2
0.083333333	102
0.083333333	96
0.083333333	82.8
0.083333333	81.6
0.083333333	78
0.083333333	78
0.083333333	74.4
0.083333333	74.4
0.083333333	68.4
0.083333333	67.2
0.083333333	67.2
0.083333333	67.2
0.083333333	60
0.083333333	58.8
0.083333333	58.8
0.083333333	56.4
0.083333333	54
0.083333333	48
0.083333333	42
0.083333333	40.8
0.083333333	39.6
0.083333333	38.4
0.083333333	36
0.166666667	120
0.166666667	87.6
0.166666667	85.8
0.166666667	85.2
0.166666667	79.8
0.166666667	69
0.166666667	69
0.166666667	66.6
0.166666667	66
0.166666667	66
0.166666667	64.8
0.166666667	64.2
0.166666667	63.6
0.166666667	63
0.166666667	60
0.166666667	56.4
0.166666667	49.8
0.166666667	48
0.166666667	48
0.166666667	48
0.166666667	46.2
0.166666667	42
0.166666667	42
0.166666667	40.8
0.166666667	36
0.166666667	34.8
0.166666667	34.8
0.166666667	31.8
0.166666667	24.6
0.5	74
0.5	65.2
0.5	53.2
0.5	50.4
0.5	49.6
0.5	47.6
0.5	43.2
0.5	41.8
0.5	41.6
0.5	41.4
0.5	40.6
0.5	39.4
0.5	38.6
0.5	33
0.5	32.2
0.5	30.6
0.5	30.4
0.5	29.2
0.5	28.6
0.5	28.4
0.5	28
0.5	27.8
0.5	25.2
0.5	23.6
0.5	23
0.5	20
0.5	18.4
0.5	17.2
0.5	16.6
0.5	16.4
1	40.9
1	36.2
1	35.9
1	35
1	33.5
1	32.7
1	30
1	29.1
1	29
1	26.8
1	24.8
1	24.7
1	24.5
1	23.2
1	21.5
1	19.4
1	17.7
1	15.9
1	15.6
1	15.5
1	15.2
1	15.1
1	14.3
1	13.8
1	13.3
1	12.9
1	12
1	11.6
1	11
1	10.2
2	26.9
2	22.9
2	21.5
2	20.15
2	19.75
2	19.55
2	19.3
2	18.55
2	17.75
2	17.7
2	15.15
2	14.9
2	13.05
2	12.45
2	12.15
2	11.2
2	11.1
2	10.65
2	9.85
2	9.4
2	8.95
2	8.6
2	8.5
2	8.3
2	7.55
2	7.2
2	6.85
2	6.65
2	6.65
2	6.55
6	11.933
6	10.017
6	9.867
6	9.5
6	8.967
6	7.633
6	7.383
6	7.317
6	7.033
6	6.783
6	6.75
6	6.733
6	6.117
6	5.933
6	5.583
6	5.45
6	4.883
6	4.35
6	4.283
6	4.267
6	4.217
6	4.2
6	3.7
6	3.65
6	3.617
6	3.517
6	3.133
6	3.033
6	2.45
6	2.4
12	7.242
12	6.267
12	6.117
12	6
12	5.267
12	5.008
12	4.542
12	4.517
12	3.983
12	3.733
12	3.633
12	3.467
12	3.367
12	3.3
12	3.267
12	3.092
12	2.967
12	2.808
12	2.75
12	2.75
12	2.717
12	2.6
12	2.458
12	2.275
12	2.275
12	2.167
12	1.942
12	1.817
12	1.692
12	1.567
24	3.846
24	3.4
24	3.371
24	2.925
24	2.679
24	2.292
24	2.271
24	2.004
24	1.95
24	1.817
24	1.763
24	1.683
24	1.65
24	1.621
24	1.583
24	1.546
24	1.483
24	1.3
24	1.138
24	0.833
